timestamp,pid,type,workingSetMB
2026-09-05T11:03:13.9637100-07:00,34092,renderer,30.12
2026-09-05T11:03:15.0645475-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:15.0831211-07:00,9168,gpu-process,381.11
2026-09-05T11:03:15.1030931-07:00,8340,utility,53.46
2026-09-05T11:03:15.1287095-07:00,45576,utility,19.5
2026-09-05T11:03:15.1508383-07:00,30008,renderer,82.7
2026-09-05T11:03:15.1719652-07:00,38120,renderer,588.64
2026-09-05T11:03:15.2041401-07:00,34092,renderer,30.12
2026-09-05T11:03:16.2822197-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:16.3105996-07:00,9168,gpu-process,361.16
2026-09-05T11:03:16.3348314-07:00,8340,utility,53.51
2026-09-05T11:03:16.3503020-07:00,45576,utility,19.5
2026-09-05T11:03:16.3688913-07:00,30008,renderer,82.7
2026-09-05T11:03:16.4256760-07:00,38120,renderer,586.92
2026-09-05T11:03:16.4398795-07:00,34092,renderer,30.12
2026-09-05T11:03:17.6318116-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:17.6665127-07:00,9168,gpu-process,387.88
2026-09-05T11:03:17.7030183-07:00,8340,utility,53.38
2026-09-05T11:03:17.7501099-07:00,45576,utility,19.5
2026-09-05T11:03:17.7818317-07:00,30008,renderer,82.7
2026-09-05T11:03:17.8321092-07:00,38120,renderer,620.64
2026-09-05T11:03:17.8488530-07:00,34092,renderer,30.12
2026-09-05T11:03:17.8613297-07:00,36372,gpu-process,49.76
2026-09-05T11:03:18.9589058-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:18.9890211-07:00,9168,gpu-process,389.46
2026-09-05T11:03:19.0062756-07:00,8340,utility,53.39
2026-09-05T11:03:19.0442290-07:00,45576,utility,19.5
2026-09-05T11:03:19.0788730-07:00,30008,renderer,82.7
2026-09-05T11:03:19.1160939-07:00,38120,renderer,646.99
2026-09-05T11:03:19.1317815-07:00,34092,renderer,30.12
2026-09-05T11:03:20.1279978-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:20.1419791-07:00,9168,gpu-process,385.78
2026-09-05T11:03:20.1543596-07:00,8340,utility,53.46
2026-09-05T11:03:20.1777165-07:00,45576,utility,19.5
2026-09-05T11:03:20.2013050-07:00,30008,renderer,82.7
2026-09-05T11:03:20.2340674-07:00,38120,renderer,670.7
2026-09-05T11:03:20.2909443-07:00,34092,renderer,30.12
2026-09-05T11:03:21.3136495-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:21.3323730-07:00,9168,gpu-process,507.16
2026-09-05T11:03:21.3622159-07:00,8340,utility,53.47
2026-09-05T11:03:21.4034347-07:00,45576,utility,19.64
2026-09-05T11:03:21.4354522-07:00,30008,renderer,82.7
2026-09-05T11:03:21.4999414-07:00,38120,renderer,724.35
2026-09-05T11:03:21.5387332-07:00,34092,renderer,30.12
