timestamp,pid,type,workingSetMB
2026-09-05T11:05:17.2702472-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:17.2882439-07:00,48496,gpu-process,292.91
2026-09-05T11:05:17.2941448-07:00,10016,utility,38.14
2026-09-05T11:05:17.3125461-07:00,43508,utility,18.94
2026-09-05T11:05:17.3229699-07:00,51560,renderer,85.96
2026-09-05T11:05:17.3347574-07:00,21984,renderer,30.21
2026-09-05T11:05:17.3462758-07:00,33580,renderer,56.19
2026-09-05T11:05:18.3056989-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:18.3168447-07:00,48496,gpu-process,292.91
2026-09-05T11:05:18.3239216-07:00,10016,utility,38.14
2026-09-05T11:05:18.3527560-07:00,43508,utility,18.94
2026-09-05T11:05:18.3626180-07:00,51560,renderer,85.96
2026-09-05T11:05:18.3754376-07:00,21984,renderer,30.21
2026-09-05T11:05:18.3844559-07:00,33580,renderer,56.19
2026-09-05T11:05:19.4776137-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:19.4896563-07:00,48496,gpu-process,292.91
2026-09-05T11:05:19.5023877-07:00,10016,utility,38.14
2026-09-05T11:05:19.5138667-07:00,43508,utility,18.94
2026-09-05T11:05:19.5252950-07:00,51560,renderer,85.96
2026-09-05T11:05:19.5354518-07:00,21984,renderer,30.21
2026-09-05T11:05:19.5462988-07:00,33580,renderer,56.19
2026-09-05T11:05:20.5585200-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:20.5829720-07:00,48496,gpu-process,292.91
2026-09-05T11:05:20.6491896-07:00,10016,utility,38.14
2026-09-05T11:05:20.6714610-07:00,43508,utility,18.94
2026-09-05T11:05:20.6882011-07:00,51560,renderer,85.96
2026-09-05T11:05:20.6991884-07:00,21984,renderer,30.21
2026-09-05T11:05:20.7064093-07:00,33580,renderer,56.19
2026-09-05T11:05:21.7333611-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:21.7434884-07:00,48496,gpu-process,292.91
2026-09-05T11:05:21.8004293-07:00,10016,utility,38.14
2026-09-05T11:05:21.8428691-07:00,43508,utility,18.94
2026-09-05T11:05:21.8577410-07:00,51560,renderer,85.96
2026-09-05T11:05:21.8693742-07:00,21984,renderer,30.21
2026-09-05T11:05:21.8788990-07:00,33580,renderer,56.19
2026-09-05T11:05:22.8882412-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:22.8983583-07:00,48496,gpu-process,316
2026-09-05T11:05:22.9077917-07:00,10016,utility,38.25
2026-09-05T11:05:22.9185464-07:00,43508,utility,18.94
2026-09-05T11:05:22.9459898-07:00,51560,renderer,85.96
2026-09-05T11:05:22.9779043-07:00,21984,renderer,30.21
2026-09-05T11:05:23.0210968-07:00,33580,renderer,56.27
2026-09-05T11:05:24.1303735-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:24.1463239-07:00,48496,gpu-process,363.09
2026-09-05T11:05:24.1568432-07:00,10016,utility,40.51
2026-09-05T11:05:24.1609221-07:00,43508,utility,19.28
2026-09-05T11:05:24.1769807-07:00,51560,renderer,86.16
2026-09-05T11:05:24.1882804-07:00,21984,renderer,30.21
2026-09-05T11:05:24.1986939-07:00,33580,renderer,73.67
2026-09-05T11:05:25.2858234-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:25.3015798-07:00,48496,gpu-process,364.09
2026-09-05T11:05:25.3166681-07:00,10016,utility,62.68
2026-09-05T11:05:25.3285979-07:00,43508,utility,19.28
2026-09-05T11:05:25.3393558-07:00,51560,renderer,86.16
2026-09-05T11:05:25.3498280-07:00,21984,renderer,30.21
2026-09-05T11:05:25.3601809-07:00,33580,renderer,150.07
2026-09-05T11:05:26.4208436-07:00,9584,crashpad-handler,10.47
2026-09-05T11:05:26.4621800-07:00,48496,gpu-process,364.12
2026-09-05T11:05:26.4734186-07:00,10016,utility,64.32
2026-09-05T11:05:26.4852831-07:00,43508,utility,19.28
2026-09-05T11:05:26.4953946-07:00,51560,renderer,86.16
